Name,Party,State,District Number,Incumbent Status,Winner Status,Percentage of Vote,Total Amount Raised,Total Amount Spent
Jerry Carl ,(R),Alabama,District 01,N/a,Winner,64.9,1971321,1859349
James Averhart ,(D),Alabama,District 01,N/a,N/a,35.0,80095,78973
Barry Moore ,(R),Alabama,District 02,N/a,Winner,65.3,650807,669368
Phyllis Harvey-Hall ,(D),Alabama,District 02,N/a,N/a,34.6,56050,55988
Mike D Rogers ,(R),Alabama,District 03,Incumbent,Winner,67.5,1193111,1218564
Adia Winfrey ,(D),Alabama,District 03,N/a,N/a,32.4,50273,40971
Robert B Aderholt ,(R),Alabama,District 04,Incumbent,Winner,82.5,1255076,1323812
Mo Brooks ,(R),Alabama,District 05,Incumbent,Winner,95.8,655365,210045
Gary Palmer ,(R),Alabama,District 06,Incumbent,Winner,97.1,907219,909082
Terri Sewell ,(D),Alabama,District 07,Incumbent,Winner,97.2,2168165,1495957
Don Young ,(R),Alaska,District 01,Incumbent,Winner,54.4,1922901,1790448
Alyse Galvin ,(I),Alaska,District 01,N/a,N/a,45.3,5178452,5088103
Tom O'Halleran ,(D),Arizona,District 01,Incumbent,Winner,51.6,3381353,3324138
Tiffany Shedd ,(R),Arizona,District 01,N/a,N/a,48.4,1675618,1615704
Ann Kirkpatrick ,(D),Arizona,District 02,Incumbent,Winner,55.1,1849862,1384765
Brandon Martin ,(R),Arizona,District 02,N/a,N/a,44.9,374821,381067
Raul M Grijalva ,(D),Arizona,District 03,Incumbent,Winner,64.6,843560,655507
Daniel Wood ,(R),Arizona,District 03,N/a,N/a,35.4,41422,41962
Paul Gosar ,(R),Arizona,District 04,Incumbent,Winner,69.8,622151,729892
Delina DiSanto ,(D),Arizona,District 04,N/a,N/a,30.2,77168,79758
Andy Biggs ,(R),Arizona,District 05,Incumbent,Winner,58.9,1602181,1236380
Joan Greene ,(D),Arizona,District 05,N/a,N/a,41.1,356069,209789
David Schweikert ,(R),Arizona,District 06,Incumbent,Winner,52.2,2265329,2249979
Hiral Tipirneni ,(D),Arizona,District 06,N/a,N/a,47.8,6301073,6366702
Tom Lewellen ,(I),Arizona,District 06,N/a,N/a,0.0,11685,11000
Ruben Gallego ,(D),Arizona,District 07,Incumbent,Winner,76.7,1811754,1653961
Josh Barnett ,(R),Arizona,District 07,N/a,N/a,23.3,28093,17883
Debbie Lesko ,(R),Arizona,District 08,Incumbent,Winner,59.6,1605245,987453
Michael Muscato ,(D),Arizona,District 08,N/a,N/a,40.4,357906,347734
Greg Stanton ,(D),Arizona,District 09,Incumbent,Winner,61.6,2001619,1001350
Dave Giles ,(R),Arizona,District 09,N/a,N/a,38.4,130480,129935
Rick Crawford ,(R),Arkansas,District 01,Incumbent,Winner,100.0,966801,1095518
French Hill ,(R),Arkansas,District 02,Incumbent,Winner,55.4,3384490,3020491
Joyce Elliott ,(D),Arkansas,District 02,N/a,N/a,44.6,3482463,3478733
Steve Womack ,(R),Arkansas,District 03,Incumbent,Winner,64.3,1127158,923120
Celeste Williams (D) ,(D),Arkansas,District 03,N/a,N/a,31.8,355294,355294
Bruce Westerman ,(R),Arkansas,District 04,Incumbent,Winner,69.7,1407770,1102573
William Hanson ,(D),Arkansas,District 04,N/a,N/a,27.5,109767,111683
Doug LaMalfa ,(R),California,District 01,Incumbent,Winner,56.9,1219556,1155945
Audrey Denney ,(D),California,District 01,N/a,N/a,43.1,2461769,2457661
Jared Huffman ,(D),California,District 02,Incumbent,Winner,75.7,899419,797753
Dale Mensing ,(R),California,District 02,N/a,N/a,24.3,5921,2197
John Garamendi ,(D),California,District 03,Incumbent,Winner,54.7,1054066,667320
Tamika Hamilton ,(R),California,District 03,N/a,N/a,45.3,397099,384584
Tom McClintock ,(R),California,District 04,Incumbent,Winner,55.9,2053363,2107248
Brynne Kennedy ,(D),California,District 04,N/a,N/a,44.1,3006020,3002532
Mike Thompson ,(D),California,District 05,Incumbent,Winner,76.8,2208136,2022751
Doris Matsui ,(D),California,District 06,Incumbent,Winner,73.4,1019605,1073529
Christine Bish ,(R),California,District 06,N/a,N/a,26.6,44772,44554
Ami Bera ,(D),California,District 07,Incumbent,Winner,56.6,1757748,1053444
Buzz Patterson ,(R),California,District 07,N/a,N/a,43.4,43876,29614
Jay Obernolte ,(R),California,District 08,N/a,Winner,56.1,1861647,1792064
Chris Bubser ,(D),California,District 08,N/a,N/a,43.9,1858001,1856613
Jerry McNerney ,(D),California,District 09,Incumbent,Winner,57.6,1177959,1112543
Tony Amador ,(R),California,District 09,N/a,N/a,42.4,52175,52175
Josh Harder ,(D),California,District 10,Incumbent,Winner,55.2,7400135,3950613
Ted Howze ,(R),California,District 10,N/a,N/a,44.8,1426552,1721882
Mark Desaulnier ,(D),California,District 11,Incumbent,Winner,73.0,610394,440537
Nisha Sharma ,(R),California,District 11,N/a,N/a,27.0,174954,171870
Nancy Pelosi ,(D),California,District 12,Incumbent,Winner,77.6,27359508,22064953
Shahid Buttar ,(D),California,District 12,N/a,N/a,22.4,1672876,1650467
Barbara Lee ,(D),California,District 13,Incumbent,Winner,90.4,1828213,1750142
Nikka Piterman ,(R),California,District 13,N/a,N/a,9.6,9839,9904
Jackie Speier ,(D),California,District 14,Incumbent,Winner,79.3,942934,919599
Eric Swalwell ,(D),California,District 15,Incumbent,Winner,70.9,2807774,3977839
Jim Costa ,(D),California,District 16,Incumbent,Winner,59.3,2135525,1835244
Kevin Cookingham ,(R),California,District 16,N/a,N/a,40.7,265364,265364
Ro Khanna ,(D),California,District 17,Incumbent,Winner,71.3,3837982,2455457
Ritesh Tandon ,(R),California,District 17,N/a,N/a,28.7,175536,175015
Anna Eshoo ,(D),California,District 18,Incumbent,Winner,63.2,2114909,2059158
Rishi Kumar ,(D),California,District 18,N/a,N/a,36.8,674383,691938
Zoe Lofgren ,(D),California,District 19,Incumbent,Winner,71.7,1755555,1731700
Justin Aguilera ,(R),California,District 19,N/a,N/a,28.3,9112,11542
Jimmy Panetta ,(D),California,District 20,Incumbent,Winner,76.8,2009894,1592671
Jeff Gorman ,(R),California,District 20,N/a,N/a,23.2,67634,64947
TJ Cox ,(D),California,District 21,Incumbent,N/a,49.6,5695157,5694005
David Valadao ,(R),California,District 21,N/a,Winner,50.4,4067880,3982587
Devin Nunes ,(R),California,District 22,Incumbent,Winner,54.2,26825212,20156093
Phil Arballo ,(D),California,District 22,N/a,N/a,45.8,5091451,5062185
Kevin McCarthy ,(R),California,District 23,Incumbent,Winner,62.1,27780644,24265583
Kim Mangone ,(D),California,District 23,N/a,N/a,37.9,1671101,1665373
Salud Carbajal ,(D),California,District 24,Incumbent,Winner,58.7,2117836,1451622
Andy Caldwell ,(R),California,District 24,N/a,N/a,41.3,1298798,1268199
Mike Garcia ,(R),California,District 25,Incumbent,Winner,50.0,9962507,9584648
Christy Smith ,(D),California,District 25,N/a,N/a,50.0,5977734,5808477
Julia Brownley ,(D),California,District 26,Incumbent,Winner,60.6,1976695,1314677
Ronda Kennedy ,(R),California,District 26,N/a,N/a,39.4,246226,67208
Judy Chu ,(D),California,District 27,Incumbent,Winner,69.8,1213706,956298
Johnny Nalbandian ,(R),California,District 27,N/a,N/a,30.2,39584,39159
Adam Schiff ,(D),California,District 28,Incumbent,Winner,72.7,19382855,10188664
Eric Early ,(R),California,District 28,N/a,N/a,27.3,4085322,3790027
Tony Cardenas ,(D),California,District 29,Incumbent,Winner,56.6,1419697,1213588
Angelica Duenas ,(3),California,District 29,N/a,N/a,43.4,78083,76627
Brad Sherman ,(D),California,District 30,Incumbent,Winner,69.5,1513374,1111826
Pete Aguilar ,(D),California,District 31,Incumbent,Winner,61.3,2475748,1861434
Agnes Gibboney ,(R),California,District 31,N/a,N/a,38.7,138687,127907
Grace Napolitano ,(D),California,District 32,Incumbent,Winner,66.6,478426,251047
Joshua Scott ,(R),California,District 32,N/a,N/a,33.4,23624,14248
Ted Lieu ,(D),California,District 33,Incumbent,Winner,67.6,1661436,1582573
James Bradley ,(R),California,District 33,N/a,N/a,32.4,78910,79035
Jimmy Gomez ,(D),California,District 34,Incumbent,Winner,53.0,1401166,1268312
David Kim ,(D),California,District 34,N/a,N/a,47.0,193430,80381
Norma Torres ,(D),California,District 35,Incumbent,Winner,69.3,654727,664600
Mike Cargile ,(R),California,District 35,N/a,N/a,30.7,36113,35915
Raul Ruiz ,(D),California,District 36,Incumbent,Winner,60.3,2402624,1732443
Erin Cruz ,(R),California,District 36,N/a,N/a,39.7,54217,53840
Karen Bass ,(D),California,District 37,Incumbent,Winner,85.9,2216467,1202942
Errol Webber ,(R),California,District 37,N/a,N/a,14.1,66398,174076
Linda Sanchez ,(D),California,District 38,Incumbent,Winner,74.3,1246008,1140165
Gil Cisneros ,(D),California,District 39,Incumbent,N/a,49.4,4370133,4350464
Young Kim ,(R),California,District 39,N/a,Winner,50.6,6424556,6021651
Lucille Roybal-Allard ,(D),California,District 40,Incumbent,Winner,72.7,739790,741379
Antonio Delgado ,(R),California,District 40,N/a,N/a,27.3,85014,79270
Mark Takano ,(D),California,District 41,Incumbent,Winner,64.0,1020456,949494
Aja Smith ,(R),California,District 41,N/a,N/a,36.0,660658,659909
Ken Calvert ,(R),California,District 42,Incumbent,Winner,57.1,1441812,1549113
Liam O'Mara ,(D),California,District 42,N/a,N/a,42.9,130065,128782
Maxine Waters ,(D),California,District 43,Incumbent,Winner,71.7,1836660,1906957
Joe Collins ,(R),California,District 43,N/a,N/a,28.3,10556626,9921103
Nanette Barragan ,(D),California,District 44,Incumbent,Winner,67.8,1173909,714023
Katie Porter ,(D),California,District 45,Incumbent,Winner,53.5,16627706,6443700
Greg Raths ,(R),California,District 45,N/a,N/a,46.5,1245767,1241713
Lou Correa ,(D),California,District 46,Incumbent,Winner,68.8,1192715,650707
Alan Lowenthal ,(D),California,District 47,Incumbent,Winner,63.3,678648,854902
John Briscoe ,(R),California,District 47,N/a,N/a,36.7,25302,21538
Harley Rouda ,(D),California,District 48,Incumbent,N/a,48.9,5968858,6174443
Michelle Steel ,(R),California,District 48,N/a,Winner,51.1,6305665,6148591
Mike Levin ,(D),California,District 49,Incumbent,Winner,53.1,3845768,2901566
Brian Maryott ,(R),California,District 49,N/a,N/a,46.9,2810253,2808217
Darrell Issa ,(R),California,District 50,N/a,Winner,54.0,11239670,10947106
Ammar Campa-Najjar ,(D),California,District 50,N/a,N/a,46.0,6248210,6247762
Juan Vargas ,(D),California,District 51,Incumbent,Winner,68.3,799734,801671
Juan Hidalgo ,(R),California,District 51,N/a,N/a,31.7,83730,81182
Scott Peters ,(D),California,District 52,Incumbent,Winner,61.6,1911791,2131849
James Debello ,(R),California,District 52,N/a,N/a,38.4,233464,224630
Sara Jacobs ,(D),California,District 53,N/a,Winner,59.5,7678363,7586186
Georgette Gomez ,(D),California,District 53,N/a,N/a,40.5,1691794,1663252
Diana DeGette ,(D),Colorado,District 01,Incumbent,Winner,73.7,1201026,1077130
Joseph Neguse ,(D),Colorado,District 02,Incumbent,Winner,61.5,1353325,674602
Charles Winn ,(R),Colorado,District 02,N/a,N/a,35.4,98338,98338
Alex Johnson ,(I),Colorado,District 02,N/a,N/a,0.0,4782,4093
Diane Mitsch Bush ,(D),Colorado,District 03,N/a,N/a,45.2,5008274,4984238
Lauren Boebert ,(R),Colorado,District 03,N/a,Winner,51.4,2989510,2632716
Chris Milton ,(3),Colorado,District 03,N/a,N/a,1.0,12012,12012
Ken Buck ,(R),Colorado,District 04,Incumbent,Winner,60.1,478984,539393
Ike McCorkle ,(D),Colorado,District 04,N/a,N/a,36.1,369871,217398
Doug Lamborn ,(R),Colorado,District 05,Incumbent,Winner,57.6,540712,329011
Jillian Freeland ,(D),Colorado,District 05,N/a,N/a,37.4,185255,175548
Rebecca Keltie ,(3),Colorado,District 05,N/a,N/a,0.8,2552,1495
Jason Crow ,(D),Colorado,District 06,Incumbent,Winner,57.1,4136137,2892443
Steven House ,(R),Colorado,District 06,N/a,N/a,40.0,1200056,1198044
Jaimie Kulikowski ,(3),Colorado,District 06,N/a,N/a,0.9,72293,110645
Ed Perlmutter ,(D),Colorado,District 07,Incumbent,Winner,59.1,1632262,1339482
Casper Stockham ,(R),Colorado,District 07,N/a,N/a,37.6,147872,147872
Anthony Malgieri ,(I),Colorado,District 07,N/a,N/a,0.0,1930,1958
John Larson ,(D),Connecticut,District 01,Incumbent,Winner,63.7,1377238,1323690
Mary Fay ,(R),Connecticut,District 01,N/a,N/a,35.0,26836,25118
Joe Courtney ,(D),Connecticut,District 02,Incumbent,Winner,59.4,964731,999360
Justin Anderson ,(R),Connecticut,District 02,N/a,N/a,38.2,80227,78767
Rosa DeLauro ,(D),Connecticut,District 03,Incumbent,Winner,58.7,1938999,1795635
Margaret Streicker ,(R),Connecticut,District 03,N/a,N/a,39.8,1839080,1835385
Justin Paglino ,(3),Connecticut,District 03,N/a,N/a,1.5,29200,28670
Jim Himes ,(D),Connecticut,District 04,Incumbent,Winner,62.3,1612935,2180029
Jonathan Riddle ,(R),Connecticut,District 04,N/a,N/a,36.2,31591,17385
Jahana Hayes ,(D),Connecticut,District 05,Incumbent,Winner,55.1,2037826,1564685
David Sullivan ,(R),Connecticut,District 05,N/a,N/a,43.5,397395,397370
Lisa Blunt Rochester ,(D),Delaware,District 01,Incumbent,Winner,57.6,2024201,1305618
Lee Murphy ,(R),Delaware,District 01,N/a,N/a,40.2,131394,131862
Catherine Purcell ,(I),Delaware,District 01,N/a,N/a,1.4,5344,5103
Matt Gaetz ,(R),Florida,District 01,Incumbent,Winner,64.6,5946646,4482782
Phil Ehr ,(D),Florida,District 01,N/a,N/a,34.0,2025099,1900451
Bert Oram ,(I),Florida,District 01,N/a,N/a,1.4,8108,7070
Neal Dunn ,(R),Florida,District 02,Incumbent,Winner,98.0,653488,637580
Kristy Thripp ,(I),Florida,District 02,N/a,N/a,0.0,145,145
Kat Cammack ,(R),Florida,District 03,N/a,Winner,57.1,1122188,1090334
Adam Christensen ,(D),Florida,District 03,N/a,N/a,42.9,216021,219108
John Rutherford ,(R),Florida,District 04,Incumbent,Winner,61.1,1024912,1283701
Donna Deegan ,(D),Florida,District 04,N/a,N/a,38.9,1013157,1013157
Al Lawson ,(D),Florida,District 05,Incumbent,Winner,65.1,848498,695779
Gary Adler ,(R),Florida,District 05,N/a,N/a,34.9,146909,146909
Michael Waltz ,(R),Florida,District 06,Incumbent,Winner,60.6,2549667,1716768
Clint Curtis ,(D),Florida,District 06,N/a,N/a,39.4,24310,22251
Gerry Nolan ,(I),Florida,District 06,N/a,N/a,0.0,4467,5256
Stephanie Murphy ,(D),Florida,District 07,Incumbent,Winner,55.3,3124692,1798549
Leo Valentin ,(R),Florida,District 07,N/a,N/a,43.2,1045426,1031316
Bill Garlington ,(I),Florida,District 07,N/a,N/a,1.4,11000,0
Bill Posey ,(R),Florida,District 08,Incumbent,Winner,61.4,985268,1121834
James Kennedy ,(D),Florida,District 08,N/a,N/a,38.6,138568,138790
Darren Soto ,(D),Florida,District 09,Incumbent,Winner,56.0,1111750,945868
William Olson ,(R),Florida,District 09,N/a,N/a,44.0,404406,401088
Val Demings ,(D),Florida,District 10,Incumbent,Winner,63.6,1876047,1191020
Vennia Francois ,(R),Florida,District 10,N/a,N/a,36.4,335480,332852
Kristofer Steven Lawson ,(I),Florida,District 10,N/a,N/a,0.0,47,47
Daniel Webster ,(R),Florida,District 11,Incumbent,Winner,66.7,691261,586965
Dana Cottrell ,(D),Florida,District 11,N/a,N/a,33.3,62658,62380
Gus Bilirakis ,(R),Florida,District 12,Incumbent,Winner,62.9,1604137,1548634
Kim Walker ,(D),Florida,District 12,N/a,N/a,37.1,42802,33544
Charlie Crist ,(D),Florida,District 13,Incumbent,Winner,53.0,2720646,3980695
Anna Paulina Luna ,(R),Florida,District 13,N/a,N/a,47.0,3302944,3262236
Kathy Castor ,(D),Florida,District 14,Incumbent,Winner,60.3,884651,1201653
Christine Quinn ,(R),Florida,District 14,N/a,N/a,39.7,242144,241187
Alan Cohn ,(D),Florida,District 15,N/a,N/a,44.6,2333053,2300197
Scott Franklin ,(R),Florida,District 15,N/a,Winner,55.4,1663898,1638417
Vernon Buchanan ,(R),Florida,District 16,Incumbent,Winner,55.5,3094611,3100766
Margaret Good ,(D),Florida,District 16,N/a,N/a,44.5,3411924,3407845
Greg Steube ,(R),Florida,District 17,Incumbent,Winner,64.6,759908,621200
Allen Ellison ,(D),Florida,District 17,N/a,N/a,34.1,83481,78243
Brian Mast ,(R),Florida,District 18,Incumbent,Winner,56.4,6128177,5301307
Pam Keith ,(D),Florida,District 18,N/a,N/a,41.5,1639873,1632736
Byron Donalds ,(R),Florida,District 19,N/a,Winner,61.3,3219579,2738685
Cindy Banyai ,(D),Florida,District 19,N/a,N/a,38.7,214750,203430
Alcee Hastings ,(D),Florida,District 20,Incumbent,Winner,78.7,607649,543316
Greg Musselwhite ,(R),Florida,District 20,N/a,N/a,21.3,28955,27538
Lois Frankel ,(D),Florida,District 21,Incumbent,Winner,59.0,1534882,1309786
Laura Loomer ,(R),Florida,District 21,N/a,N/a,39.1,2271604,2240689
Charleston Malkemus ,(I),Florida,District 21,N/a,N/a,1.9,28928,28636
Ted Deutch ,(D),Florida,District 22,Incumbent,Winner,58.6,1364438,1265494
Jim Pruden ,(R),Florida,District 22,N/a,N/a,41.4,278416,278416
Debbie Wasserman Schultz ,(D),Florida,District 23,Incumbent,Winner,58.2,2191922,1979903
Carla Spalding ,(R),Florida,District 23,N/a,N/a,41.8,919579,903561
Frederica Wilson ,(D),Florida,District 24,Incumbent,Winner,75.6,412592,321019
Lavern Spicer ,(R),Florida,District 24,N/a,N/a,20.4,34973,34909
Christine Olivo ,(I),Florida,District 24,N/a,N/a,4.0,31646,32898
Mario Diaz-Balart ,(R),Florida,District 25,Incumbent,Winner,100.0,1590134,804054
Debbie Mucarsel-Powell ,(D),Florida,District 26,Incumbent,N/a,48.3,6793521,6822740
Carlos Gimenez ,(R),Florida,District 26,N/a,Winner,51.7,2226559,2187389
Donna Shalala ,(D),Florida,District 27,Incumbent,N/a,48.6,3842907,3735966
Maria Salazar ,(R),Florida,District 27,N/a,Winner,51.4,3654190,3645814
Frank Polo ,(I),Florida,District 27,N/a,N/a,0.0,4606,4662
Buddy Carter ,(R),Georgia,District 01,Incumbent,Winner,58.4,2315487,1734754
Joyce Griggs ,(D),Georgia,District 01,N/a,N/a,41.7,130043,125000
Sanford Bishop ,(D),Georgia,District 02,Incumbent,Winner,59.1,1540683,1440571
Don Cole ,(R),Georgia,District 02,N/a,N/a,40.9,164274,162522
Drew Ferguson ,(R),Georgia,District 03,Incumbent,Winner,65.0,2374212,2150911
Val Almonord ,(D),Georgia,District 03,N/a,N/a,35.0,35762,31946
Hank Johnson ,(D),Georgia,District 04,Incumbent,Winner,80.1,628303,490360
Johsira C. Cruz ,(R),Georgia,District 04,N/a,N/a,19.9,12954,23146
Nikema Williams ,(D),Georgia,District 05,N/a,Winner,85.2,553964,362801
Robert Franklin ,(D),Georgia,District 05,N/a,N/a,0.0,360473,358394
Angela Stanton-King ,(R),Georgia,District 05,N/a,N/a,14.9,305279,301338
Kwanza Hall ,(D),Georgia,District 05,N/a,N/a,0.0,239597,227091
Barrington Martin II ,(D),Georgia,District 05,N/a,N/a,0.0,16522,16517
Chase Oliver ,(L),Georgia,District 05,N/a,N/a,0.0,9225,5220
Steven Muhammad ,(I),Georgia,District 05,N/a,N/a,0.0,3497,-4965
Keisha Waites ,(D),Georgia,District 05,N/a,N/a,0.0,875,0
Lucy McBath ,(D),Georgia,District 06,Incumbent,Winner,54.6,8507298,8586054
Karen Handel ,(R),Georgia,District 06,N/a,N/a,45.4,3026243,3072932
Carolyn Bourdeaux ,(D),Georgia,District 07,N/a,Winner,54.4,5133244,5161230
Richard McCormick ,(R),Georgia,District 07,N/a,N/a,48.6,2595446,2563724
Austin Scott ,(R),Georgia,District 08,Incumbent,Winner,64.5,821745,716159
Jimmy Cooper ,(3),Georgia,District 08,N/a,N/a,0.0,8542,8528
Lindsay Holliday ,(D),Georgia,District 08,N/a,N/a,35.5,7480,5220
Andrew Clyde ,(R),Georgia,District 09,N/a,Winner,78.6,1569425,1561316
Devin Pandy ,(D),Georgia,District 09,N/a,N/a,21.4,84272,84623
Jody Hice ,(R),Georgia,District 10,Incumbent,Winner,62.3,595947,457648
Tabitha Johnson-Green ,(D),Georgia,District 10,N/a,N/a,37.7,14808,12214
Barry Loudermilk ,(R),Georgia,District 11,Incumbent,Winner,60.4,877767,700851
Dana Barrett ,(D),Georgia,District 11,N/a,N/a,39.6,404625,394977
Richard W Allen ,(R),Georgia,District 12,Incumbent,Winner,58.4,1228970,662818
Liz Johnson ,(D),Georgia,District 12,N/a,N/a,41.6,72061,72061
David Scott ,(D),Georgia,District 13,Incumbent,Winner,77.4,1209614,1131746
Becky Hites ,(R),Georgia,District 13,N/a,N/a,22.6,63509,62935
Martin Cowen ,(L),Georgia,District 13,N/a,N/a,0.0,13460,13464
Marjorie Taylor Greene ,(R),Georgia,District 14,N/a,Winner,74.8,2596914,2237599
Ed Case ,(D),Hawaii,District 01,Incumbent,N/a,64.7,508249,472569
Ron Curtis ,(R),Hawaii,District 01,N/a,N/a,25.1,12538,12647
Kai Kahele ,(D),Hawaii,District 02,N/a,Winner,57.9,1235523,1039637
Joe Akana ,(R),Hawaii,District 02,N/a,N/a,28.3,54534,55344
Jonathan Hoomanawanui ,(3),Hawaii,District 02,N/a,N/a,2.2,1883,1522
Russ Fulcher ,(R),Idaho,District 01,Incumbent,Winner,67.8,575485,508457
Rudy Soto ,(D),Idaho,District 01,N/a,N/a,28.7,302902,302902
Mike Simpson ,(R),Idaho,District 02,Incumbent,Winner,64.1,1008847,1099604
Aaron Swisher ,(D),Idaho,District 02,N/a,N/a,31.7,70674,70268
Bobby Rush ,(D),Illinois,District 01,Incumbent,Winner,73.8,541435,496454
Philanise White ,(R),Illinois,District 01,N/a,N/a,26.2,6289,5048
Robin Kelly ,(D),Illinois,District 02,Incumbent,Winner,78.8,1634783,1108137
Marie Newman ,(D),Illinois,District 03,N/a,Winner,56.4,2802093,2699323
Mike Fricilone ,(R),Illinois,District 03,N/a,N/a,43.6,128458,127980
Jesus Garcia ,(D),Illinois,District 04,Incumbent,Winner,16.0,822846,711159
Jesus Solorio Jr ,(R),Illinois,District 04,N/a,N/a,84.0,2065,843
Mike Quigley ,(D),Illinois,District 05,Incumbent,Winner,70.8,1171507,926655
Sean Casten ,(D),Illinois,District 06,Incumbent,Winner,52.8,5582179,5313570
Jeanne Ives ,(R),Illinois,District 06,N/a,N/a,45.4,3157771,3135464
Bill Redpath ,(L),Illinois,District 06,N/a,N/a,1.7,9837,9837
Danny K Davis ,(D),Illinois,District 07,Incumbent,Winner,80.4,544690,505506
Tracy Jennings ,(3),Illinois,District 07,N/a,N/a,6.2,65283,65283
Raja Krishnamoorthi ,(D),Illinois,District 08,Incumbent,Winner,73.2,6358878,2207703
Jan Schakowsky ,(D),Illinois,District 09,Incumbent,Winner,71.0,1834801,1514838
Sargis Sangari ,(R),Illinois,District 09,N/a,N/a,29.0,35364,34715
Brad Schneider ,(D),Illinois,District 10,Incumbent,Winner,63.8,3459512,2873333
Valerie Ramirez Mukherjee ,(R),Illinois,District 10,N/a,N/a,36.2,130225,64764
Bill Foster ,(D),Illinois,District 11,Incumbent,Winner,63.3,2381354,1823906
Rick Laib ,(R),Illinois,District 11,N/a,N/a,36.7,20343,20064
Mike Bost ,(R),Illinois,District 12,Incumbent,Winner,60.6,1918041,1509573
Ray Lenzi ,(D),Illinois,District 12,N/a,N/a,39.4,161324,104809
Rodney Davis ,(R),Illinois,District 13,Incumbent,Winner,54.4,4943459,4822600
Betsy Dirksen Londrigan ,(D),Illinois,District 13,N/a,N/a,45.6,5297007,5281880
